Company;Revenue;;;Growth rate;;;EBIT;;;EBIT margin;;;P/B;;;ROE %;;;ROI %;;;Adjusted P/E;;;Adjusted EPS;;;Dividend;;;Dividend yield;;;EV/EBITDA;;;EV/EBIT;;;EV/S;;
Metso;2 706,00;3 174,00;3 729,80;4,60 %;17,30 %;17,50 %;218,5;351,1;471,4;8,10 %;11,10 %;12,60 %;3,2;2,4;3,5;7,30 %;16,70 %;22,20 %;10,30 %;16,90 %;21,00 %;29,9;14,9;15,4;0,95;1,53;2,33;1,05;1,2;1,4;3,70 %;5,20 %;3,90 %;15,5;8,8;10,5;19,7;10,3;12,6;1,6;1,1;1,6
Outotec;1 143,80;1 276,50;1 198,90;8,10 %;11,60 %;-6,10 %;26;-66,1;79,9;2,30 %;-5,20 %;6,70 %;2,8;1,5;2,8;0,60 %;-16,00 %;13,00 %;4,10 %;-9,90 %;13,70 %;-228;11,8;13,6;-0,03;0,26;0,45;0;0;0,12;0,00 %;0,00 %;2,00 %;20,4;-24,6;9,7;55,3;-10,2;15,9;1,3;0,5;1,1
Ponsse;576,6;612,4;695,2;11,40 %;6,20 %;13,50 %;67,4;61,7;75;11,70 %;10,10 %;10,80 %;4,2;3,5;3,8;27,40 %;23,20 %;25,40 %;28,10 %;22,50 %;26,90 %;16,5;15,8;16,2;1,6;1,56;1,98;0,75;0,8;0,95;2,80 %;3,20 %;3,00 %;9,5;9,2;9,4;11,3;11,5;12,1;1,3;1,2;1,3
Wartsila;4 911,00;5 174,00;5 210,90;2,30 %;5,40 %;0,70 %;538;543;405,7;11,00 %;10,50 %;7,80 %;4,4;3,4;2,6;16,20 %;16,20 %;10,80 %;18,50 %;18,10 %;12,70 %;75,4;19,6;18,6;0,7;0,71;0,56;1,38;0,48;0,3;2,60 %;3,50 %;2,90 %;15,4;12,7;11,4;19,7;15,8;16,5;2,2;1,7;1,3
Verkkokauppa.com;431,9;477,8;505,1;16,30 %;10,60 %;5,70 %;13,5;13,3;12,7;3,10 %;2,80 %;2,50 %;8,7;4,9;4,8;25,10 %;25,10 %;23,70 %;25,70 %;20,50 %;19,80 %;33,8;19,9;20,3;0,21;0,21;0,2;0,18;0,2;0,21;2,60 %;4,80 %;5,40 %;16,4;8,9;8,9;22;12,4;12,4;0,7;0,3;0,3
CapMan;34,8;33,5;43,3;30,50 %;-3,90 %;29,30 %;19,5;12;21;55,90 %;35,70 %;48,50 %;2;1,8;3;11,20 %;6,50 %;11,60 %;10,10 %;6,70 %;11,80 %;13,8;26,9;22,9;0,13;0,05;0,1;0,11;0,12;0,13;6,20 %;8,20 %;5,70 %;12,4;16,5;14,1;14,5;18,6;17,6;8,1;6,6;8,5
Taaleri;81;72,3;66,2;33,50 %;-10,70 %;-8,40 %;27;23,9;16;33,30 %;33,00 %;24,10 %;2,8;1,7;1,8;21,80 %;19,10 %;9,70 %;16,40 %;13,50 %;8,70 %;13,5;9,3;20,3;0,77;0,76;0,44;0,25;0,3;0,33;2,40 %;4,20 %;3,70 %;10,7;9,1;14,3;11,2;9,5;16,6;3,7;3,1;4
Fiskars;1 185,50;1 118,50;1 087,50;-1,60 %;-5,60 %;-2,80 %;97,9;91,6;59,4;8,30 %;8,20 %;5,50 %;1,5;1;1,4;13,40 %;6,60 %;4,90 %;6,80 %;6,60 %;5,20 %;11,4;13,5;14,9;2,11;1,11;0,84;0,72;6,14;0,54;3,00 %;40,80 %;4,30 %;11,4;6,7;9,5;15,9;9,9;19;1,3;0,8;1
Kesko;10 676,00;10 380,00;10 783,20;4,90 %;-2,80 %;3,90 %;324,6;404,3;447,6;3,00 %;3,90 %;4,20 %;2,1;2,4;3,2;12,40 %;10,60 %;16,30 %;12,10 %;10,60 %;9,90 %;19,7;19,1;22,3;2,3;2,47;2,91;2,2;2,34;2,5;4,90 %;5,00 %;3,90 %;9,7;8,2;10,1;14,4;17,6;20,7;0,4;0,7;0,9
Nokian Renkaat;1 572,50;1 595,60;1 598,90;13,00 %;1,50 %;0,20 %;365,4;372,4;316,2;23,20 %;23,30 %;19,80 %;3,5;2,5;2,3;15,10 %;20,00 %;25,30 %;28,30 %;23,40 %;18,90 %;23,3;12,5;15,2;1,62;2,14;1,79;1,56;1,58;1,58;4,10 %;5,90 %;5,80 %;10,7;7,3;7,9;13,6;9,1;10,9;3,2;2,1;2,2
Rapala VMC;253,3;262,4;262,9;-2,80 %;3,60 %;0,20 %;8,9;14,8;15,1;3,50 %;5,60 %;5,70 %;0,9;0,8;0,7;1,40 %;3,50 %;4,40 %;3,70 %;6,60 %;6,30 %;28,7;17,7;15,2;0,12;0,17;0,18;0,04;0,06;0,06;1,20 %;2,00 %;2,20 %;14;9,5;7,8;24,8;14,3;14,3;0,9;0,8;0,8
Sampo;5 815,00;7 908,00;8 404,20;7,50 %;36,00 %;6,30 %;2 481,60;2 095,00;1 546,80;42,70 %;26,50 %;18,40 %;2;1,7;1,8;18,10 %;13,40 %;9,30 %;15,10 %;12,00 %;8,90 %;16,6;14,3;19,4;2,76;2,68;2,05;2,6;2,85;2,2;5,70 %;7,40 %;5,50 %;10,6;11,3;16,1;10,6;11,3;16,1;4,5;3;3
Sanoma;1 433,40;1 315,40;913,9;-12,50 %;-8,20 %;-30,50 %;-239;168,4;116,8;-16,70 %;12,80 %;12,80 %;3,2;2,3;2,9;-47,60 %;19,20 %;11,70 %;-17,10 %;17,20 %;9,60 %;15;10,2;22,4;0,72;0,83;0,47;0,35;0,45;0,48;3,20 %;5,30 %;4,50 %;-44,6;5,7;9,5;-9;10,2;21,7;1,5;1,3;2,8
Citycon;338,2;316,2;310;2,00 %;-6,50 %;-2,00 %;200,5;187,6;192;59,30 %;59,30 %;61,90 %;0,9;0,7;0,8;6,70 %;6,70 %;6,80 %;4,70 %;4,50 %;4,50 %;12,6;10;12;0,86;0,81;0,8;0,65;0,65;0,65;6,00 %;8,00 %;6,80 %;19,5;18,5;20,3;19,5;18,5;20,3;11,5;11;12,6
Ovaro Kiinteistosijoitus;13,3;12,8;11;6,00 %;-3,60 %;-14,10 %;0,2;-8,9;-1;1,70 %;-69,80 %;-8,70 %;0;0,6;0,5;-2,90 %;-17,10 %;-3,90 %;0,10 %;-4,70 %;-0,60 %;0;-3,1;-13,4;-0,29;-1,53;-0,32;0;0;0;0,00 %;0,00 %;0,00 %;461,6;-15,8;-122,3;461,6;-15,8;-122,3;7,9;11;10,6
Apetit;311,8;259,9;255;-0,10 %;-16,60 %;-1,90 %;1,1;0,5;-2;0,40 %;0,20 %;-0,80 %;0,8;0,6;0,5;2,50 %;-0,40 %;-3,40 %;1,70 %;-0,20 %;-2,40 %;28,7;83,4;-10,4;0,49;0,11;-0,8;0,7;0,4;0,4;5,00 %;4,40 %;4,80 %;8;12,6;14,2;48,8;113,4;-27,8;0,2;0,2;0,2
NoHo Partners;185,9;323,2;274,7;43,00 %;73,90 %;-15,00 %;10,8;7,2;31;5,80 %;2,20 %;11,30 %;3,2;2,5;1,5;11,20 %;6,40 %;47,70 %;12,80 %;4,60 %;10,70 %;28,8;45,7;4,2;0,3;0,19;2,5;0,33;0,34;0,45;3,90 %;3,90 %;4,20 %;8,2;10,6;6,3;17;42,1;15,1;1;0,9;1,7
Nixu;32,3;40,1;50,3;50,20 %;24,30 %;25,30 %;0,5;-1,5;-2,5;1,50 %;-3,60 %;-5,00 %;4,2;3,3;5,7;-1,30 %;-11,00 %;-16,70 %;2,50 %;-5,40 %;-9,30 %;752;-42,5;-346,4;0,01;-0,18;-0,03;0;0;0;0,00 %;0,00 %;0,00 %;69;-215,9;98,3;155;-37,8;-36;2,4;1,4;1,8
United Bankers;25;29,7;31;24,60 %;18,60 %;4,30 %;3,6;5,4;5,6;14,40 %;18,10 %;18,20 %;2,9;2,1;3;13,60 %;17,30 %;14,70 %;17,60 %;18,60 %;16,30 %;84,7;14,7;20,8;0,4;0,45;0,43;2;0,41;0,45;5,90 %;6,20 %;5,00 %;9,7;7,7;11,5;13,5;10,1;15;1,9;1,8;2,7
Aspocomp;23,9;29,1;32,5;10,60 %;21,80 %;11,40 %;0,8;2,9;3,9;3,50 %;9,90 %;11,90 %;1,3;1,7;2,2;11,20 %;24,10 %;25,40 %;6,60 %;17,10 %;17,70 %;19,9;8,9;10,7;0,12;0,41;0,55;0,07;0,12;0,14;3,00 %;3,20 %;2,40 %;8,8;7;8,2;20;9,5;11,1;0,7;0,9;1,3
Panostaja;193,2;199,7;190,2;12,00 %;3,40 %;-4,70 %;9,5;5,3;3,6;4,90 %;2,70 %;1,90 %;1,7;1;0,9;6,00 %;57,50 %;3,20 %;6,20 %;3,50 %;2,60 %;24,4;2,1;29;0,04;0,46;0,03;0,04;0,08;0,05;4,00 %;8,40 %;5,50 %;9,4;8,5;8,4;19,3;28,9;35,4;1;0,8;0,7
Scanfil;529,9;563;580,8;4,30 %;6,20 %;3,20 %;31,3;37,8;36,2;5,90 %;6,70 %;6,20 %;2,2;1,7;1,9;22,10 %;21,50 %;17,00 %;17,70 %;20,00 %;16,90 %;10,5;8,3;10,4;0,4;0,45;0,47;0,11;0,13;0,15;2,60 %;3,50 %;3,10 %;7,8;5,7;6,8;10;7,1;10;0,6;0,5;0,6
Detection Technology;89;93,9;104,5;17,90 %;5,50 %;11,30 %;19,9;18,5;18,2;22,30 %;19,70 %;17,40 %;6;4,6;6,4;41,80 %;31,90 %;25,60 %;47,40 %;36,70 %;30,90 %;16,5;15;27,2;1,09;1,09;0,99;0,35;0,38;0,38;1,90 %;2,30 %;1,40 %;10,3;10,4;17,3;11,5;11,7;20;2,6;2,3;3,5
Talenom;41,4;48,9;57,9;12,10 %;18,00 %;18,40 %;4,8;8,5;11,2;11,70 %;17,50 %;19,40 %;6,2;7;12,1;26,60 %;39,00 %;37,60 %;13,90 %;21,80 %;23,50 %;23,4;20,6;37,1;0,55;0,93;1,19;0,32;0,55;0,71;2,50 %;2,90 %;1,60 %;11;10,9;17,3;21,6;17,4;29,2;2,5;3;5,7
Martela;109,5;103,1;105,7;-15,20 %;-5,90 %;2,50 %;0,3;-2,1;-1,6;0,20 %;-2,00 %;-1,50 %;1,4;0,7;0,9;-2,70 %;-11,40 %;-12,30 %;1,20 %;-6,00 %;-4,60 %;-48,8;-5,2;-8,6;-0,15;-0,57;-0,4;0,32;0,1;0,1;4,30 %;3,40 %;2,90 %;12,8;23,7;6,6;142,4;-5,8;-13,2;0,3;0,1;0,2
SRV;1 114,40;959,7;1 049,20;26,10 %;-13,90 %;9,30 %;15,3;-19,9;-7,4;1,40 %;-2,10 %;-0,70 %;0,8;0,4;0,4;0,90 %;-13,00 %;-13,40 %;2,60 %;-3,30 %;-1,10 %;17,2;-4,6;-2,9;0,21;-0,37;-0,5;0,06;0;0;1,70 %;0,00 %;0,00 %;24,4;-26,4;85,2;33,4;-19,3;-64,9;0,5;0,4;0,5
eQ;40,7;45,6;51,8;14,90 %;12,20 %;13,60 %;20,1;22,5;26,9;49,50 %;49,20 %;51,90 %;5;4,6;7,8;25,00 %;28,50 %;34,10 %;31,60 %;35,90 %;42,80 %;19,7;16,1;23,2;0,42;0,47;0,56;0,5;0,54;0,6;6,00 %;7,10 %;4,70 %;14,1;11,5;16,9;14,3;11,6;17,5;7,1;5,7;9,1
Finnair;2 568,40;2 849,70;3 079,90;10,90 %;11,00 %;8,10 %;224,8;256,3;130,8;8,80 %;9,00 %;4,20 %;1,6;1;0,9;16,70 %;9,20 %;2,80 %;13,60 %;11,60 %;5,00 %;10,3;16,5;25,3;1,25;0,43;0,24;0,3;0,27;0,1;2,30 %;3,90 %;1,60 %;3,9;2,9;3,4;6,1;6,3;11,5;0,5;0,6;0,5
Pihlajalinna;424;487,8;517,9;6,20 %;15,10 %;6,20 %;19,1;13,2;13,9;4,50 %;2,70 %;2,70 %;2,7;1,6;2,8;9,60 %;3,10 %;3,30 %;10,50 %;4,90 %;4,20 %;26,5;42;26,9;0,5;0,21;0,57;0,16;0,1;0,15;1,20 %;1,20 %;1,00 %;10,4;8;9,7;18,1;27,2;36,1;0,8;0,7;1
Avidly;15,7;19,8;23;11,60 %;26,20 %;16,20 %;1,1;0,6;-0,2;6,80 %;3,10 %;-0,90 %;3,1;1,4;1,4;37,00 %;6,20 %;-5,70 %;17,40 %;6,10 %;-1,50 %;9,9;15,2;-36,2;0,7;0,34;-0,14;0,16;0,08;0;2,30 %;1,60 %;0,00 %;9,4;12,2;12,4;11,7;20,8;-77,9;0,8;0,6;0,7
Piippo;17,3;17,3;16,4;3,70 %;-0,40 %;-5,30 %;0,6;0;0,3;3,40 %;0,10 %;1,90 %;1,2;0,7;0,7;5,40 %;-2,30 %;1,30 %;5,80 %;0,20 %;2,30 %;22,1;19,8;46,9;0,3;0,17;0,07;0,27;0;0;4,10 %;0,00 %;0,00 %;11,3;23,1;11,8;19,2;505,6;35,1;0,7;0,6;0,7
